x,f(x),P_n(x)
-0.9700000000000204,1.9700000000000204,1365.8976449626264
-0.9600000000000204,1.9600000000000204,1314.9459631856755
-0.9500000000000204,1.9500000000000204,1262.2832907428613
-0.9400000000000204,1.9400000000000204,1208.0051034559153
-0.9300000000000204,1.9300000000000204,1152.2079777354143
-0.9200000000000204,1.9200000000000204,1094.989472714122
-0.9100000000000203,1.9100000000000203,1036.448012868273
-0.9000000000000203,1.9000000000000203,976.6827712001226
-0.8900000000000203,1.8900000000000203,915.793553053886
-0.8800000000000203,1.8800000000000203,853.8806806359671
-0.8700000000000203,1.8700000000000203,791.0448783091848
-0.8600000000000203,1.8600000000000203,727.3871587294819
-0.8500000000000203,1.8500000000000203,663.0087098924037
-0.8400000000000203,1.8400000000000203,598.0107831554225
-0.8300000000000203,1.8300000000000203,532.494582300972
-0.8200000000000203,1.8200000000000203,466.5611537038536
-0.8100000000000203,1.8100000000000203,400.31127766546354
-0.8000000000000203,1.8000000000000203,333.84536097608344
-0.7900000000000202,1.7900000000000202,267.26333076526925
-0.7800000000000202,1.7800000000000202,200.66452969916364
-0.7700000000000202,1.7700000000000202,134.14761258235094
-0.7600000000000202,1.7600000000000202,67.81044442066218
-0.7500000000000202,1.7500000000000202,1.750000000133138
-0.7400000000000202,1.7400000000000202,-63.937734963892055
-0.7300000000000202,1.7300000000000202,-129.1578610547274
-0.7200000000000202,1.7200000000000202,-193.81666070780432
-0.7100000000000202,1.7100000000000202,-257.8216920392564
-0.7000000000000202,1.7000000000000202,-321.0818809004677
-0.6900000000000202,1.6900000000000202,-383.50761111063537
-0.6800000000000201,1.6800000000000201,-445.01081282060125
-0.6700000000000201,1.6700000000000201,-505.50504896241546
-0.6600000000000201,1.6600000000000201,-564.9055997403098
-0.6500000000000201,1.6500000000000201,-623.1295451199571
-0.6400000000000201,1.64000000000002,-680.0958452741079
-0.6300000000000201,1.63000000000002,-735.7254189439018
-0.6200000000000201,1.62000000000002,-789.94121967636
-0.6100000000000201,1.61000000000002,-842.668309899772
-0.6000000000000201,1.60000000000002,-893.8339327998989
-0.5900000000000201,1.59000000000002,-943.3675819611237
-0.58000000000002,1.58000000000002,-991.2010687378887
-0.57000000000002,1.57000000000002,-1037.2685873229655
-0.56000000000002,1.56000000000002,-1081.5067774803126
-0.55000000000002,1.55000000000002,-1123.8547849114857
-0.54000000000002,1.54000000000002,-1164.254319225769
-0.53000000000002,1.53000000000002,-1202.649709485414
-0.52000000000002,1.52000000000002,-1238.9879572985676
-0.51000000000002,1.51000000000002,-1273.218787433684
-0.50000000000002,1.50000000000002,-1305.2946959304363
-0.49000000000002,1.49000000000002,-1335.170995683329
-0.48000000000001997,1.48000000000002,-1362.8058594754357
-0.47000000000001996,1.47000000000002,-1388.1603604408986
-0.46000000000001995,1.46000000000002,-1411.1985099360145
-0.45000000000001994,1.45000000000002,-1431.887292799961
-0.44000000000001993,1.44000000000002,-1450.1966999874219
-0.4300000000000199,1.43000000000002,-1466.0997585565597
-0.4200000000000199,1.42000000000002,-1479.5725589970207
-0.4100000000000199,1.41000000000002,-1490.5942798838391
-0.4000000000000199,1.40000000000002,-1499.1472098443382
-0.3900000000000199,1.3900000000000199,-1505.216766826314
-0.3800000000000199,1.3800000000000199,-1508.7915146570126
-0.37000000000001987,1.3700000000000199,-1509.8631768836049
-0.36000000000001986,1.3600000000000199,-1508.4266478870907
-0.35000000000001985,1.3500000000000199,-1504.4800012627445
-0.34000000000001984,1.3400000000000198,-1498.0244954614534
-0.33000000000001983,1.3300000000000198,-1489.0645766874845
-0.3200000000000198,1.3200000000000198,-1477.6078790494355
-0.3100000000000198,1.3100000000000198,-1463.6652219623313
-0.3000000000000198,1.3000000000000198,-1447.2506048000348
-0.2900000000000198,1.2900000000000198,-1428.3811987983497
-0.2800000000000198,1.2800000000000198,-1407.077336210401
-0.2700000000000198,1.2700000000000198,-1383.3624967170863
-0.26000000000001977,1.2600000000000198,-1357.2632910966054
-0.25000000000001976,1.2500000000000198,-1328.8094421582662
-0.24000000000001975,1.2400000000000198,-1298.0337629470039
-0.23000000000001974,1.2300000000000197,-1264.972132226224
-0.22000000000001974,1.2200000000000197,-1229.663467247813
-0.21000000000001973,1.2100000000000197,-1192.1496938193575
-0.20000000000001972,1.2000000000000197,-1152.4757136798241
-0.1900000000000197,1.1900000000000197,-1110.6893691961623
-0.1800000000000197,1.1800000000000197,-1066.8414053944916
-0.1700000000000197,1.1700000000000197,-1020.9854293407594
-0.16000000000001968,1.1600000000000197,-973.1778668869428
-0.15000000000001967,1.1500000000000197,-923.4779168000994
-0.14000000000001966,1.1400000000000197,-871.947502292757
-0.13000000000001966,1.1300000000000197,-818.6512199743588
-0.12000000000001966,1.1200000000000196,-763.6562862446787
-0.11000000000001967,1.1100000000000196,-707.0324811513344
-0.10000000000001967,1.1000000000000196,-648.8520897347296
-0.09000000000001968,1.0900000000000196,-589.1898408849693
-0.08000000000001968,1.0800000000000196,-528.1228437365012
-0.07000000000001969,1.0700000000000196,-465.73052162743437
-0.06000000000001968,1.0600000000000196,-402.0945436517124
-0.05000000000001968,1.0500000000000196,-337.2987538335076
-0.04000000000001968,1.0400000000000196,-271.4290979544244
-0.030000000000019678,1.0300000000000198,-204.57354806530182
-0.020000000000019676,1.0200000000000198,-136.82202471561678
-0.010000000000019675,1.0100000000000198,-68.26631693469315
-1.9675233664528946E-14,1.0000000000000198,0.99999999986308
0.009999999999980325,1.0099999999999802,70.88164896988127
0.019999999999980325,1.0199999999999803,141.28173756266094
0.029999999999980327,1.0299999999999803,212.10184671628446
0.03999999999998033,1.0399999999999803,283.2421214239572
0.04999999999998033,1.0499999999999803,354.601363455918
0.05999999999998033,1.0599999999999803,426.07712605625414
0.06999999999998033,1.0699999999999803,497.5658105707466
0.07999999999998032,1.0799999999999803,568.962764960664
0.08999999999998032,1.0899999999999803,640.1623841562124
0.09999999999998031,1.0999999999999803,711.0582122021467
0.10999999999998031,1.1099999999999803,781.543046146831
0.1199999999999803,1.1199999999999803,851.509041624836
0.1299999999999803,1.1299999999999804,920.847820081952
0.1399999999999803,1.1399999999999804,989.4505775902802
0.14999999999998032,1.1499999999999804,1057.208195199867
0.15999999999998032,1.1599999999999804,1124.011350772131
0.16999999999998033,1.1699999999999804,1189.7506322391268
0.17999999999998034,1.1799999999999804,1254.3166522314805
0.18999999999998035,1.1899999999999804,1317.6001640166276
0.19999999999998036,1.1999999999999804,1379.4921786877626
0.20999999999998037,1.2099999999999804,1439.8840835427263
0.21999999999998038,1.2199999999999804,1498.667761590814
0.2299999999999804,1.2299999999999804,1555.7357121243192
0.2399999999999804,1.2399999999999805,1610.9811722903794
0.2499999999999804,1.2499999999999805,1664.2982395975196
0.2599999999999804,1.2599999999999805,1715.5819952900458
0.2699999999999804,1.2699999999999805,1764.7286285222665
0.27999999999998043,1.2799999999999805,1811.6355612632783
0.28999999999998044,1.2899999999999805,1856.2015738618784
0.29999999999998045,1.2999999999999805,1898.32693119992
