x,f(x),Spline(x)
-1.9600000000000213,2.9600000000000213,1.587477333333375
-1.9500000000000213,2.9500000000000215,1.5679375000000417
-1.9400000000000213,2.9400000000000213,1.5485026666667079
-1.9300000000000213,2.930000000000021,1.529173833333374
-1.9200000000000212,2.9200000000000212,1.5099520000000404
-1.9100000000000212,2.9100000000000215,1.4908381666667068
-1.9000000000000212,2.9000000000000212,1.4718333333333737
-1.8900000000000212,2.890000000000021,1.4529385000000403
-1.8800000000000212,2.880000000000021,1.4341546666667062
-1.8700000000000212,2.8700000000000214,1.4154828333333729
-1.8600000000000212,2.860000000000021,1.3969240000000391
-1.8500000000000212,2.850000000000021,1.3784791666667051
-1.8400000000000212,2.840000000000021,1.360149333333372
-1.8300000000000212,2.8300000000000214,1.3419355000000388
-1.8200000000000212,2.820000000000021,1.3238386666667048
